SiteCode,Date,Analyte,Unit,DataType,DataValue,NonDetect,n,MDL,RL,ResQualCode,QACode,Compliance,Comment
630EWK001,8/16/01,Total Dissolved Solids,mg/L,Annual Average,124,,,,,,,,
630EWK001,8/21/02,Total Dissolved Solids,mg/L,Annual Average,131,,,,,,,,
630EWK001,11/24/03,Total Dissolved Solids,mg/L,Annual Average,141,,,,,,,,
630EWK001,11/23/04,Total Dissolved Solids,mg/L,Annual Average,138,,,,,,,,
630EWK001,8/4/05,Total Dissolved Solids,mg/L,Annual Average,129,,,,,,,,
630EWK001,11/8/07,Total Dissolved Solids,mg/L,Annual Average,140,,,,,,,,
630EWK001,10/28/08,Total Dissolved Solids,mg/L,Annual Average,151,,,,,,,,
630EWK001,10/9/09,Total Dissolved Solids,mg/L,Annual Average,126,,,,,,,,
630EWK001,11/1/10,Total Dissolved Solids,mg/L,Annual Average,129,,,,,,,,
630EWK001,8/1/11,Total Dissolved Solids,mg/L,Annual Average,124,,,,,,,,
630EWK001,11/26/12,Total Dissolved Solids,mg/L,Annual Average,129,,,,,,,,
630EWK001,11/12/13,Total Dissolved Solids,mg/L,Annual Average,149,,,,,,,,
630EWK001,12/10/14,Total Dissolved Solids,mg/L,Annual Average,160,,,,,,,,
630EWK001,12/7/15,Total Dissolved Solids,mg/L,Annual Average,190,,,,,,,,
630EWK001,12/22/16,Total Dissolved Solids,mg/L,Annual Average,132,,,,,,,,
630EWK001,10/4/17,Total Dissolved Solids,mg/L,Annual Average,90,,,,,,,,
630EWK001,11/26/01,"Phosphorus, Total",mg/L,Annual Average,0.17,,,,,,,,
630EWK001,8/21/02,"Phosphorus, Total",mg/L,Annual Average,0.21,,,,,,,,
630EWK001,11/24/03,"Phosphorus, Total",mg/L,Annual Average,0.08,,,,,,,,
630EWK001,11/23/04,"Phosphorus, Total",mg/L,Annual Average,0.07,,,,,,,,
630EWK001,11/22/05,"Phosphorus, Total",mg/L,Annual Average,0.06,,,,,,,,
630EWK001,11/8/07,"Phosphorus, Total",mg/L,Annual Average,0.13,,,,,,,,
630EWK001,10/28/08,"Phosphorus, Total",mg/L,Annual Average,0.1,,,,,,,,
630EWK001,11/9/09,"Phosphorus, Total",mg/L,Annual Average,0.07,,,,,,,,
630EWK001,11/1/10,"Phosphorus, Total",mg/L,Annual Average,0.07,,,,,,,,
630EWK001,8/1/11,"Phosphorus, Total",mg/L,Annual Average,0.07,,,,,,,,
630EWK001,11/26/12,"Phosphorus, Total",mg/L,Annual Average,0.13,,,,,,,,
630EWK001,11/12/13,"Phosphorus, Total",mg/L,Annual Average,0.12,,,,,,,,
630EWK001,10/2/14,"Phosphorus, Total",mg/L,Annual Average,0.1,,,,,,,,
630EWK001,10/15/15,"Phosphorus, Total",mg/L,Annual Average,0.12,,,,,,,,
630EWK001,10/13/16,"Phosphorus, Total",mg/L,Annual Average,0.06,,,,,,,,
630EWK001,11/26/01,"Nitrogen, Total",mg/L,Annual Average,1,,,,,,,,
630EWK001,8/21/02,"Nitrogen, Total",mg/L,Annual Average,1.5,,,,,,,,
630EWK001,11/24/03,"Nitrogen, Total",mg/L,Annual Average,0.7,,,,,,,,
630EWK001,11/23/04,"Nitrogen, Total",mg/L,Annual Average,0.6,,,,,,,,
630EWK001,11/22/05,"Nitrogen, Total",mg/L,Annual Average,0.5,,,,,,,,
630EWK001,11/8/07,"Nitrogen, Total",mg/L,Annual Average,0.7,,,,,,,,
630EWK001,10/28/08,"Nitrogen, Total",mg/L,Annual Average,0.5,,,,,,,,
630EWK001,10/9/09,"Nitrogen, Total",mg/L,Annual Average,0.5,,,,,,,,
630EWK001,11/1/10,"Nitrogen, Total",mg/L,Annual Average,0.7,,,,,,,,
630EWK001,8/1/11,"Nitrogen, Total",mg/L,Annual Average,0.3,,,,,,,,
630EWK001,11/26/12,"Nitrogen, Total",mg/L,Annual Average,0.5,,,,,,,,
630EWK001,11/12/13,"Nitrogen, Total",mg/L,Annual Average,0.7,,,,,,,,
630EWK001,10/2/14,"Nitrogen, Total",mg/L,Annual Average,0.5,,,,,,,,
630EWK001,10/15/15,"Nitrogen, Total",mg/L,Annual Average,0.6,,,,,,,,
630EWK001,10/13/16,"Nitrogen, Total",mg/L,Annual Average,0.6,,,,,,,,
630EWK001,11/26/01,"Chloride, Dissolved",mg/L,Annual Average,1.53,,,,,,,,
630EWK001,8/21/02,"Chloride, Dissolved",mg/L,Annual Average,2.51,,,,,,,,
630EWK001,11/24/03,"Chloride, Dissolved",mg/L,Annual Average,2.88,,,,,,,,
630EWK001,11/23/04,"Chloride, Dissolved",mg/L,Annual Average,2.85,,,,,,,,
630EWK001,6/2/05,"Chloride, Dissolved",mg/L,Annual Average,3.69,,,,,,,,
630EWK001,11/8/07,"Chloride, Dissolved",mg/L,Annual Average,3.14,,,,,,,,
630EWK001,10/28/08,"Chloride, Dissolved",mg/L,Annual Average,3.48,,,,,,,,
