SiteCode,Analyte,Type,ObjClass,Label,Value,Upper,Lower,Unit,Comment
631WWK001,Total Dissolved Solids,Max,Annual Average,Site-specific Objective (Annual Average),60,,,mg/L,
631WWK001,"Phosphorus, Total",Max,Annual Average,Site-specific Objective (Annual Average),0.01,,,mg/L,
631WWK001,"Turbidity, Total",Max,MCL,Maximum Contaminant Level,5,,,NTU,
631WWK001,"Sulfate, Dissolved",Max,MCL,Maximum Contaminant Level,250,,,mg/L,
631WWK001,Specific Conductivity,Max,MCL,Maximum Contaminant Level,900,,,uS/cm,
631WWK001,pH,Range,Range,pH Range,8.5,8.5,6.5,,
631WWK001,"Oxygen, Dissolved, Total",Min,Site-Specific Objective One Day Minimum,Site-specific Objective (One Day Minimum),8,,,mg/L,
631WWK001,"Oxygen, Saturation, Total",Min,Site-Specific Objective One Day Minimum,Site-specific Objective (One Day Minimum),80,,,%,
631WWK001,"Nitrate + Nitrite as N, Dissolved",Max,MCL,Maximum Contaminant Level,10,,,mg/L,
631WWK001,"Nitrogen, Total",Max,Annual Average,Site-specific Objective (Annual Average),0.2,,,mg/L,
631WWK001,"Fluoride, Dissolved",Max,MCL,Maximum Contaminant Level,2,,,mg/L,
631WWK001,Electrical Conductivity,Max,MCL,Maximum Contaminant Level,900,,,uS/cm,
631WWK001,"Chloride, Dissolved",Max,Annual Average,Site-specific Objective (Annual Average),3,,,mg/L,
631WWK001,"Boron, Dissolved",Max,Annual Average,Site-specific Objective (Annual Average),0.1,,,mg/L,
631WWK001,"Alkalinity as CaCO3, Total",Min,Water Quality Criteria,Water Quality Criteria (Minimum Hardness),20,,,mg/L,Objective is > 20
631WWK001,E. coli (Single Sample),Max,Statistical Threshold Value,Statistical Threshold Value,320,,,cfu/100mL,
631WWK001,E. coli (Geometric Mean),Max,Geometric Mean Objective,Geometric Mean Objective,100,,,cfu/100mL,
631WWK001,"Coliform, Fecal (Single Sample)",Max,Ten Percent Exceedance Value,Ten Percent Exceedance Value,40,,,cfu/100mL,
