SiteCode,Date,Analyte,Unit,DataType,DataValue,NonDetect,n,MDL,RL,ResQualCode,QACode,Compliance,Comment
631WWK001,8/21/02,Total Dissolved Solids,mg/L,Annual Average,93,,,,,,,,
631WWK001,11/24/03,Total Dissolved Solids,mg/L,Annual Average,88,,,,,,,,
631WWK001,11/23/04,Total Dissolved Solids,mg/L,Annual Average,75,,,,,,,,
631WWK001,8/24/05,Total Dissolved Solids,mg/L,Annual Average,67,,,,,,,,
631WWK001,12/26/07,Total Dissolved Solids,mg/L,Annual Average,117,,,,,,,,
631WWK001,11/11/08,Total Dissolved Solids,mg/L,Annual Average,88,,,,,,,,
631WWK001,11/24/09,Total Dissolved Solids,mg/L,Annual Average,65,,,,,,,,
631WWK001,11/1/10,Total Dissolved Solids,mg/L,Annual Average,71,,,,,,,,
631WWK001,9/29/11,Total Dissolved Solids,mg/L,Annual Average,67,,,,,,,,
631WWK001,11/26/12,Total Dissolved Solids,mg/L,Annual Average,87,,,,,,,,
631WWK001,11/12/13,Total Dissolved Solids,mg/L,Annual Average,85,,,,,,,,
631WWK001,10/2/14,Total Dissolved Solids,mg/L,Annual Average,112,,,,,,,,
631WWK001,10/15/15,Total Dissolved Solids,mg/L,Annual Average,92,,,,,,,,
631WWK001,10/13/16,Total Dissolved Solids,mg/L,Annual Average,67,,,,,,,,
631WWK001,8/21/02,"Phosphorus, Total",mg/L,Annual Average,0.033,,,,,,,,
631WWK001,11/24/03,"Phosphorus, Total",mg/L,Annual Average,0.031,,,,,,,,
631WWK001,11/23/04,"Phosphorus, Total",mg/L,Annual Average,0.33,,,,,,,,
631WWK001,11/22/05,"Phosphorus, Total",mg/L,Annual Average,0.096,,,,,,,,
631WWK001,12/26/07,"Phosphorus, Total",mg/L,Annual Average,0.029,,,,,,,,
631WWK001,11/11/08,"Phosphorus, Total",mg/L,Annual Average,0.031,,,,,,,,
631WWK001,11/24/09,"Phosphorus, Total",mg/L,Annual Average,0.028,,,,,,,,
631WWK001,11/1/10,"Phosphorus, Total",mg/L,Annual Average,0.029,,,,,,,,
631WWK001,9/29/11,"Phosphorus, Total",mg/L,Annual Average,0.095,,,,,,,,
631WWK001,11/26/12,"Phosphorus, Total",mg/L,Annual Average,0.017,,,,,,,,
631WWK001,11/12/13,"Phosphorus, Total",mg/L,Annual Average,0.021,,,,,,,,
631WWK001,10/2/14,"Phosphorus, Total",mg/L,Annual Average,0.03,,,,,,,,
631WWK001,10/15/15,"Phosphorus, Total",mg/L,Annual Average,0.025,,,,,,,,
631WWK001,10/13/16,"Phosphorus, Total",mg/L,Annual Average,0.041,,,,,,,,
631WWK001,8/21/02,"Nitrogen, Total",mg/L,Annual Average,0.16,,,,,,,,
631WWK001,11/24/03,"Nitrogen, Total",mg/L,Annual Average,0.13,,,,,,,,
631WWK001,11/23/04,"Nitrogen, Total",mg/L,Annual Average,0.53,,,,,,,,
631WWK001,11/22/05,"Nitrogen, Total",mg/L,Annual Average,0.36,,,,,,,,
631WWK001,12/26/07,"Nitrogen, Total",mg/L,Annual Average,0.11,,,,,,,,
631WWK001,11/11/08,"Nitrogen, Total",mg/L,Annual Average,0.19,,,,,,,,
631WWK001,11/24/09,"Nitrogen, Total",mg/L,Annual Average,0.1,,,,,,,,
631WWK001,11/1/10,"Nitrogen, Total",mg/L,Annual Average,0.11,,,,,,,,
631WWK001,9/29/11,"Nitrogen, Total",mg/L,Annual Average,0.03,,,,,,,,
631WWK001,11/26/12,"Nitrogen, Total",mg/L,Annual Average,0.08,,,,,,,,
631WWK001,11/12/13,"Nitrogen, Total",mg/L,Annual Average,0.06,,,,,,,,
631WWK001,10/2/14,"Nitrogen, Total",mg/L,Annual Average,0.13,,,,,,,,
631WWK001,10/15/15,"Nitrogen, Total",mg/L,Annual Average,0.1,,,,,,,,
631WWK001,10/13/16,"Nitrogen, Total",mg/L,Annual Average,0.11,,,,,,,,
631WWK001,8/21/02,"Chloride, Dissolved",mg/L,Annual Average,3.7,,,,,,,,
631WWK001,11/24/03,"Chloride, Dissolved",mg/L,Annual Average,3.3,,,,,,,,
631WWK001,11/23/04,"Chloride, Dissolved",mg/L,Annual Average,2.8,,,,,,,,
631WWK001,8/24/05,"Chloride, Dissolved",mg/L,Annual Average,1.8,,,,,,,,
631WWK001,12/26/07,"Chloride, Dissolved",mg/L,Annual Average,5.5,,,,,,,,
631WWK001,11/11/08,"Chloride, Dissolved",mg/L,Annual Average,3.8,,,,,,,,
631WWK001,11/24/09,"Chloride, Dissolved",mg/L,Annual Average,2.1,,,,,,,,
631WWK001,11/1/10,"Chloride, Dissolved",mg/L,Annual Average,2.3,,,,,,,,
631WWK001,9/29/11,"Chloride, Dissolved",mg/L,Annual Average,1.3,,,,,,,,
631WWK001,11/26/12,"Chloride, Dissolved",mg/L,Annual Average,3.7,,,,,,,,
631WWK001,11/12/13,"Chloride, Dissolved",mg/L,Annual Average,4,,,,,,,,
631WWK001,10/2/14,"Chloride, Dissolved",mg/L,Annual Average,5.1,,,,,,,,
631WWK001,10/15/15,"Chloride, Dissolved",mg/L,Annual Average,4.3,,,,,,,,
631WWK001,10/13/16,"Chloride, Dissolved",mg/L,Annual Average,2.6,,,,,,,,
631WWK001,8/21/02,"Boron, Dissolved",mg/L,Annual Average,0.13,,,,,,,,
631WWK001,11/24/03,"Boron, Dissolved",mg/L,Annual Average,0.1,,,,,,,,
631WWK001,11/23/04,"Boron, Dissolved",mg/L,Annual Average,0.1,,,,,,,,
631WWK001,8/24/05,"Boron, Dissolved",mg/L,Annual Average,0.07,,,,,,,,
631WWK001,12/26/07,"Boron, Dissolved",mg/L,Annual Average,0.21,,,,,,,,
631WWK001,11/11/08,"Boron, Dissolved",mg/L,Annual Average,0.13,,,,,,,,
631WWK001,11/24/09,"Boron, Dissolved",mg/L,Annual Average,0.09,,,,,,,,
631WWK001,11/1/10,"Boron, Dissolved",mg/L,Annual Average,0.08,,,,,,,,
631WWK001,9/29/11,"Boron, Dissolved",mg/L,Annual Average,0.05,,,,,,,,
631WWK001,11/26/12,"Boron, Dissolved",mg/L,Annual Average,0.14,,,,,,,,
631WWK001,11/12/13,"Boron, Dissolved",mg/L,Annual Average,0.19,,,,,,,,
631WWK001,10/2/14,"Boron, Dissolved",mg/L,Annual Average,0.24,,,,,,,,
631WWK001,10/15/15,"Boron, Dissolved",mg/L,Annual Average,0.375,,,,,,,,
631WWK001,10/13/16,"Boron, Dissolved",mg/L,Annual Average,0.123,,,,,,,,
631WWK001,3/8/17,"Boron, Dissolved",mg/L,Annual Average,0.103,,,,,,,,
