SiteCode,Date,Analyte,Unit,DataType,DataValue,NonDetect,n,MDL,RL,ResQualCode,QACode,Compliance,Comment
632ECR005,10/16/01,"Phosphorus, Total",mg/L,Annual Average,0.06,,,,,,,,
632ECR005,12/12/02,"Phosphorus, Total",mg/L,Annual Average,0.0434,,,,,,,,
632ECR005,11/18/03,"Phosphorus, Total",mg/L,Annual Average,0.027,,,,,,,,
632ECR005,11/24/04,"Phosphorus, Total",mg/L,Annual Average,0.03275,,,,,,,,
632ECR005,11/15/05,"Phosphorus, Total",mg/L,Annual Average,0.0735,,,,,,,,
632ECR005,12/7/06,"Phosphorus, Total",mg/L,Annual Average,0.035583333,,,,,,,,
632ECR005,12/27/07,"Phosphorus, Total",mg/L,Annual Average,0.039,,,,,,,,
632ECR005,12/2/08,"Phosphorus, Total",mg/L,Annual Average,0.071769231,,,,,,,,
632ECR005,12/28/09,"Phosphorus, Total",mg/L,Annual Average,0.0264,,,,,,,,
632ECR005,11/2/10,"Phosphorus, Total",mg/L,Annual Average,0.028572727,,,,,,,,
632ECR005,9/7/11,"Phosphorus, Total",mg/L,Annual Average,0.0521125,,,,,,,,
632ECR005,10/17/12,"Phosphorus, Total",mg/L,Annual Average,0.024825,,,,,,,,
632ECR005,10/7/13,"Phosphorus, Total",mg/L,Annual Average,0.054975,,,,,,,,
632ECR005,10/6/14,"Phosphorus, Total",mg/L,Annual Average,0.156325,,,,,,,,
632ECR005,10/26/15,"Phosphorus, Total",mg/L,Annual Average,0.1502,,,,,,,,
632ECR005,10/27/16,"Phosphorus, Total",mg/L,Annual Average,0.2046,,,,,,,,
632ECR005,10/16/01,Total Dissolved Solids,mg/L,Annual Average,112,,,,,,,,
632ECR005,12/12/02,Total Dissolved Solids,mg/L,Annual Average,85,,,,,,,,
632ECR005,11/18/03,Total Dissolved Solids,mg/L,Annual Average,88,,,,,,,,
632ECR005,11/24/04,Total Dissolved Solids,mg/L,Annual Average,89,,,,,,,,
632ECR005,8/25/05,Total Dissolved Solids,mg/L,Annual Average,81,,,,,,,,
632ECR005,12/7/06,Total Dissolved Solids,mg/L,Annual Average,79,,,,,,,,
632ECR005,11/6/07,Total Dissolved Solids,mg/L,Annual Average,78,,,,,,,,
632ECR005,10/22/08,Total Dissolved Solids,mg/L,Annual Average,86,,,,,,,,
632ECR005,10/23/09,Total Dissolved Solids,mg/L,Annual Average,77,,,,,,,,
632ECR005,10/20/10,Total Dissolved Solids,mg/L,Annual Average,84,,,,,,,,
632ECR005,7/20/11,Total Dissolved Solids,mg/L,Annual Average,71,,,,,,,,
632ECR005,10/17/12,Total Dissolved Solids,mg/L,Annual Average,84,,,,,,,,
632ECR005,10/7/13,Total Dissolved Solids,mg/L,Annual Average,82,,,,,,,,
632ECR005,10/6/14,Total Dissolved Solids,mg/L,Annual Average,93,,,,,,,,
632ECR005,10/26/15,Total Dissolved Solids,mg/L,Annual Average,97,,,,,,,,
632ECR005,10/27/16,Total Dissolved Solids,mg/L,Annual Average,65,,,,,,,,
632ECR005,12/12/02,"Sulfate, Dissolved",mg/L,Annual Average,7.5,,,,,,,,
632ECR005,11/18/03,"Sulfate, Dissolved",mg/L,Annual Average,5.8,,,,,,,,
632ECR005,11/24/04,"Sulfate, Dissolved",mg/L,Annual Average,6.3,,,,,,,,
632ECR005,8/25/05,"Sulfate, Dissolved",mg/L,Annual Average,6.3,,,,,,,,
632ECR005,12/7/06,"Sulfate, Dissolved",mg/L,Annual Average,4.2,,,,,,,,
632ECR005,12/27/07,"Sulfate, Dissolved",mg/L,Annual Average,6.2,,,,,,,,
632ECR005,12/2/08,"Sulfate, Dissolved",mg/L,Annual Average,7.5,,,,,,,,
632ECR005,12/28/09,"Sulfate, Dissolved",mg/L,Annual Average,5.4,,,,,,,,
632ECR005,11/2/10,"Sulfate, Dissolved",mg/L,Annual Average,5.1,,,,,,,,
632ECR005,9/7/11,"Sulfate, Dissolved",mg/L,Annual Average,3.7,,,,,,,,
632ECR005,10/17/12,"Sulfate, Dissolved",mg/L,Annual Average,5,,,,,,,,
632ECR005,10/7/13,"Sulfate, Dissolved",mg/L,Annual Average,5.4,,,,,,,,
