SiteCode,Date,Analyte,Unit,DataType,DataValue,NonDetect,n,MDL,RL,ResQualCode,QACode,Compliance,Comment
633WCR002,4/7/03,Total Dissolved Solids,mg/L,Monthly Mean,53,,,,,,,,
633WCR002,8/11/03,Total Dissolved Solids,mg/L,Monthly Mean,55,,,,,,,,
633WCR002,11/18/03,Total Dissolved Solids,mg/L,Monthly Mean,57,,,,,,,,
633WCR002,2/20/04,Total Dissolved Solids,mg/L,Monthly Mean,62,,,,,,,,
633WCR002,5/19/04,Total Dissolved Solids,mg/L,Monthly Mean,35,,,,,,,,
633WCR002,8/19/04,Total Dissolved Solids,mg/L,Monthly Mean,47,,,,,,,,
633WCR002,11/24/04,Total Dissolved Solids,mg/L,Monthly Mean,71,,,,,,,,
633WCR002,2/25/05,Total Dissolved Solids,mg/L,Monthly Mean,64,,,,,,,,
633WCR002,5/26/05,Total Dissolved Solids,mg/L,Monthly Mean,35,,,,,,,,
633WCR002,8/25/05,Total Dissolved Solids,mg/L,Monthly Mean,52,,,,,,,,
633WCR002,6/29/06,Total Dissolved Solids,mg/L,Monthly Mean,33,,,,,,,,
633WCR002,7/24/06,Total Dissolved Solids,mg/L,Monthly Mean,36,,,,,,,,
633WCR002,8/22/06,Total Dissolved Solids,mg/L,Monthly Mean,50,,,,,,,,
633WCR002,9/29/06,Total Dissolved Solids,mg/L,Monthly Mean,51,,,,,,,,
633WCR002,10/12/06,Total Dissolved Solids,mg/L,Monthly Mean,51,,,,,,,,
633WCR002,11/16/06,Total Dissolved Solids,mg/L,Monthly Mean,52,,,,,,,,
633WCR002,12/7/06,Total Dissolved Solids,mg/L,Monthly Mean,63,,,,,,,,
633WCR002,1/26/07,Total Dissolved Solids,mg/L,Monthly Mean,62,,,,,,,,
633WCR002,2/16/07,Total Dissolved Solids,mg/L,Monthly Mean,54,,,,,,,,
633WCR002,3/22/07,Total Dissolved Solids,mg/L,Monthly Mean,49,,,,,,,,
633WCR002,4/24/07,Total Dissolved Solids,mg/L,Monthly Mean,43,,,,,,,,
633WCR002,5/30/07,Total Dissolved Solids,mg/L,Monthly Mean,37,,,,,,,,
633WCR002,6/21/07,Total Dissolved Solids,mg/L,Monthly Mean,41,,,,,,,,
633WCR002,7/19/07,Total Dissolved Solids,mg/L,Monthly Mean,47,,,,,,,,
633WCR002,11/6/07,Total Dissolved Solids,mg/L,Monthly Mean,55.2,,,,,,,,
633WCR002,1/30/08,Total Dissolved Solids,mg/L,Monthly Mean,58.4,,,,,,,,
633WCR002,4/15/08,Total Dissolved Solids,mg/L,Monthly Mean,44,,,,,,,,
633WCR002,6/23/08,Total Dissolved Solids,mg/L,Monthly Mean,44,,,,,,,,
633WCR002,7/15/08,Total Dissolved Solids,mg/L,Monthly Mean,52,,,,,,,,
633WCR002,10/22/08,Total Dissolved Solids,mg/L,Monthly Mean,49,,,,,,,,
633WCR002,1/30/09,Total Dissolved Solids,mg/L,Monthly Mean,38,,,,,,,,
633WCR002,4/17/09,Total Dissolved Solids,mg/L,Monthly Mean,48,,,,,,,,
633WCR002,8/11/09,Total Dissolved Solids,mg/L,Monthly Mean,48.4,,,,,,,,
633WCR002,10/23/09,Total Dissolved Solids,mg/L,Monthly Mean,40,,,,,,,,
633WCR002,2/1/10,Total Dissolved Solids,mg/L,Monthly Mean,52,,,,,,,,
633WCR002,4/7/10,Total Dissolved Solids,mg/L,Monthly Mean,49.5,,,,,,,,
633WCR002,7/28/10,Total Dissolved Solids,mg/L,Monthly Mean,42,,,,,,,,
633WCR002,10/20/10,Total Dissolved Solids,mg/L,Monthly Mean,47,,,,,,,,
633WCR002,1/20/11,Total Dissolved Solids,mg/L,Monthly Mean,54,,,,,,,,
633WCR002,4/27/11,Total Dissolved Solids,mg/L,Monthly Mean,45,,,,,,,,
633WCR002,7/25/11,Total Dissolved Solids,mg/L,Monthly Mean,33,,,,,,,,
633WCR002,5/31/12,Total Dissolved Solids,mg/L,Monthly Mean,37,,,,,,,,
633WCR002,9/20/12,Total Dissolved Solids,mg/L,Monthly Mean,53,,,,,,,,
633WCR002,10/17/12,Total Dissolved Solids,mg/L,Monthly Mean,52,,,,,,,,
633WCR002,2/6/13,Total Dissolved Solids,mg/L,Monthly Mean,51,,,,,,,,
633WCR002,5/14/13,Total Dissolved Solids,mg/L,Monthly Mean,32,,,,,,,,
633WCR002,8/15/13,Total Dissolved Solids,mg/L,Monthly Mean,47,,,,,,,,
633WCR002,10/16/13,Total Dissolved Solids,mg/L,Monthly Mean,51,,,,,,,,
633WCR002,1/14/14,Total Dissolved Solids,mg/L,Monthly Mean,58,,,,,,,,
633WCR002,4/10/14,Total Dissolved Solids,mg/L,Monthly Mean,44,,,,,,,,
633WCR002,7/22/14,Total Dissolved Solids,mg/L,Monthly Mean,50,,,,,,,,
633WCR002,12/8/14,Total Dissolved Solids,mg/L,Monthly Mean,67,,,,,,,,
633WCR002,1/12/15,Total Dissolved Solids,mg/L,Monthly Mean,58,,,,,,,,
633WCR002,4/1/15,Total Dissolved Solids,mg/L,Monthly Mean,45,,,,,,,,
633WCR002,7/21/15,Total Dissolved Solids,mg/L,Monthly Mean,63,,,,,,,,
633WCR002,11/19/15,Total Dissolved Solids,mg/L,Monthly Mean,57,,,,,,,,
633WCR002,3/30/16,Total Dissolved Solids,mg/L,Monthly Mean,54,,,,,,,,
633WCR002,5/19/16,Total Dissolved Solids,mg/L,Monthly Mean,39,,,,,,,,
633WCR002,7/14/16,Total Dissolved Solids,mg/L,Monthly Mean,46,,,,,,,,
633WCR002,11/7/16,Total Dissolved Solids,mg/L,Monthly Mean,51,,,,,,,,
633WCR002,3/7/17,Total Dissolved Solids,mg/L,Monthly Mean,57,,,,,,,,
633WCR002,9/5/17,Total Dissolved Solids,mg/L,Monthly Mean,62,,,,,,,,
633WCR002,10/9/17,Total Dissolved Solids,mg/L,Monthly Mean,41,,,,,,,,
633WCR002,4/7/03,"Sulfate, Dissolved",mg/L,Monthly Mean,2.1,,,,,,,,
633WCR002,8/11/03,"Sulfate, Dissolved",mg/L,Monthly Mean,1.7,,,,,,,,
633WCR002,11/18/03,"Sulfate, Dissolved",mg/L,Monthly Mean,3.5,,,,,,,,
633WCR002,2/20/04,"Sulfate, Dissolved",mg/L,Monthly Mean,3.6,,,,,,,,
633WCR002,5/19/04,"Sulfate, Dissolved",mg/L,Monthly Mean,1.3,,,,,,,,
633WCR002,8/19/04,"Sulfate, Dissolved",mg/L,Monthly Mean,0.8,,,,,,,,
633WCR002,11/24/04,"Sulfate, Dissolved",mg/L,Monthly Mean,3.8,,,,,,,,
633WCR002,2/25/05,"Sulfate, Dissolved",mg/L,Monthly Mean,2.7,,,,,,,,
633WCR002,5/26/05,"Sulfate, Dissolved",mg/L,Monthly Mean,1,,,,,,,,
633WCR002,8/25/05,"Sulfate, Dissolved",mg/L,Monthly Mean,1.7,,,,,,,,
633WCR002,6/29/06,"Sulfate, Dissolved",mg/L,Monthly Mean,0.96,,,,,,,,
633WCR002,7/24/06,"Sulfate, Dissolved",mg/L,Monthly Mean,1.17,,,,,,,,
633WCR002,8/22/06,"Sulfate, Dissolved",mg/L,Monthly Mean,1.42,,,,,,,,
633WCR002,9/29/06,"Sulfate, Dissolved",mg/L,Monthly Mean,2.8,,,,,,,,
