SiteCode,Date,Analyte,Unit,DataType,DataValue,NonDetect,n,MDL,RL,ResQualCode,QACode,Compliance,Comment
635TRK002,9/23/14,"Phosphorus, Total",mg/L,Monthly Mean,0.0105,,,,,,,,
635TRK002,10/20/14,"Phosphorus, Total",mg/L,Monthly Mean,0.0109,,,,,,,,
635TRK002,1/15/15,"Phosphorus, Total",mg/L,Monthly Mean,0.012,,,,,,,,
635TRK002,4/16/15,"Phosphorus, Total",mg/L,Monthly Mean,0.0146,,,,,,,,
635TRK002,9/16/15,"Phosphorus, Total",mg/L,Monthly Mean,0.0202,,,,,,,,
635TRK002,12/9/15,"Phosphorus, Total",mg/L,Monthly Mean,0.0106,,,,,,,,
635TRK002,2/22/16,"Phosphorus, Total",mg/L,Monthly Mean,0.0226,,,,,,,,
635TRK002,6/23/16,"Phosphorus, Total",mg/L,Monthly Mean,0.0194,,,,,,,,
635TRK002,8/17/16,"Phosphorus, Total",mg/L,Monthly Mean,0.0259,,,,,,,,
635TRK002,10/11/16,"Phosphorus, Total",mg/L,Monthly Mean,0.0182,,,,,,,,
635TRK002,9/23/14,"Boron, Total",mg/L,Monthly Mean,0.107,,,,,,,,
635TRK002,10/20/14,"Boron, Total",mg/L,Monthly Mean,0.117,,,,,,,,
635TRK002,1/15/15,"Boron, Total",mg/L,Monthly Mean,0.158,,,,,,,,
635TRK002,4/16/15,"Boron, Total",mg/L,Monthly Mean,0.164,,,,,,,,
635TRK002,9/16/15,"Boron, Total",mg/L,Monthly Mean,0.628,,,,,,,,
635TRK002,12/9/15,"Boron, Total",mg/L,Monthly Mean,0.357,,,,,,,,
635TRK002,2/22/16,"Boron, Total",mg/L,Monthly Mean,0.073,,,,,,,,
635TRK002,6/23/16,"Boron, Total",mg/L,Monthly Mean,0.045,,,,,,,,
635TRK002,8/17/16,"Boron, Total",mg/L,Monthly Mean,0.046,,,,,,,,
635TRK002,10/11/16,"Boron, Total",mg/L,Monthly Mean,0.059,,,,,,,,
635TRK002,9/23/14,"Chloride, Dissolved",mg/L,Monthly Mean,14.5,,,,,,,,
635TRK002,10/20/14,"Chloride, Dissolved",mg/L,Monthly Mean,14,,,,,,,,
635TRK002,1/15/15,"Chloride, Dissolved",mg/L,Monthly Mean,6.11,,,,,,,,
635TRK002,4/16/15,"Chloride, Dissolved",mg/L,Monthly Mean,3.58,,,,,,,,
635TRK002,9/16/15,"Chloride, Dissolved",mg/L,Monthly Mean,16.7,,,,,,,,
635TRK002,12/9/15,"Chloride, Dissolved",mg/L,Monthly Mean,10.5,,,,,,,,
635TRK002,2/22/16,"Chloride, Dissolved",mg/L,Monthly Mean,11.3,,,,,,,,
635TRK002,6/23/16,"Chloride, Dissolved",mg/L,Monthly Mean,3.42,,,,,,,,
635TRK002,8/17/16,"Chloride, Dissolved",mg/L,Monthly Mean,3.36,,,,,,,,
635TRK002,10/11/16,"Chloride, Dissolved",mg/L,Monthly Mean,5.77,,,,,,,,
635TRK002,9/23/14,"Nitrogen, Total",mg/L,Monthly Mean,0.106,,,,,,,,
635TRK002,10/20/14,"Nitrogen, Total",mg/L,Monthly Mean,0.0902,,,,,,,,
635TRK002,1/15/15,"Nitrogen, Total",mg/L,Monthly Mean,0.173,,,,,,,,
635TRK002,4/16/15,"Nitrogen, Total",mg/L,Monthly Mean,0.136,,,,,,,,
635TRK002,9/16/15,"Nitrogen, Total",mg/L,Monthly Mean,0.156,,,,,,,,
635TRK002,12/9/15,"Nitrogen, Total",mg/L,Monthly Mean,0.126,,,,,,,,
635TRK002,2/22/16,"Nitrogen, Total",mg/L,Monthly Mean,0.209,,,,,,,,
635TRK002,6/23/16,"Nitrogen, Total",mg/L,Monthly Mean,0.157,,,,,,,,
635TRK002,8/17/16,"Nitrogen, Total",mg/L,Monthly Mean,0.268,,,,,,,,
635TRK002,10/11/16,"Nitrogen, Total",mg/L,Monthly Mean,0.134,,,,,,,,
635TRK002,9/23/14,"Sulfate, Dissolved",mg/L,Monthly Mean,4.12,,,,,,,,
635TRK002,10/20/14,"Sulfate, Dissolved",mg/L,Monthly Mean,4.96,,,,,,,,
635TRK002,1/15/15,"Sulfate, Dissolved",mg/L,Monthly Mean,2.99,,,,,,,,
635TRK002,4/16/15,"Sulfate, Dissolved",mg/L,Monthly Mean,2.23,,,,,,,,
635TRK002,9/16/15,"Sulfate, Dissolved",mg/L,Monthly Mean,4.35,,,,,,,,
635TRK002,12/9/15,"Sulfate, Dissolved",mg/L,Monthly Mean,5.81,,,,,,,,
635TRK002,2/22/16,"Sulfate, Dissolved",mg/L,Monthly Mean,4.78,,,,,,,,
635TRK002,6/23/16,"Sulfate, Dissolved",mg/L,Monthly Mean,2.41,,,,,,,,
635TRK002,8/17/16,"Sulfate, Dissolved",mg/L,Monthly Mean,1.86,,,,,,,,
635TRK002,10/11/16,"Sulfate, Dissolved",mg/L,Monthly Mean,2.81,,,,,,,,
635TRK002,9/23/14,Total Dissolved Solids,mg/L,Monthly Mean,2.7,,,,,,,,
635TRK002,10/20/14,Total Dissolved Solids,mg/L,Monthly Mean,1,,,,,,,,
635TRK002,11/25/14,Total Dissolved Solids,mg/L,Monthly Mean,5.3,,,,,,,,
635TRK002,12/10/14,Total Dissolved Solids,mg/L,Monthly Mean,3.3,,,,,,,,
635TRK002,1/15/15,Total Dissolved Solids,mg/L,Monthly Mean,1.9,,,,,,,,
635TRK002,2/4/15,Total Dissolved Solids,mg/L,Monthly Mean,1.7,,,,,,,,
635TRK002,3/10/15,Total Dissolved Solids,mg/L,Monthly Mean,2.5,,,,,,,,
635TRK002,4/16/15,Total Dissolved Solids,mg/L,Monthly Mean,5.1,,,,,,,,
635TRK002,6/30/15,Total Dissolved Solids,mg/L,Monthly Mean,3.6,,,,,,,,
635TRK002,7/28/15,Total Dissolved Solids,mg/L,Monthly Mean,2.8,,,,,,,,
635TRK002,8/11/15,Total Dissolved Solids,mg/L,Monthly Mean,2.2,,,,,,,,
635TRK002,9/16/15,Total Dissolved Solids,mg/L,Monthly Mean,3,,,,,,,,
635TRK002,10/27/15,Total Dissolved Solids,mg/L,Monthly Mean,1,,,,,,,,
635TRK002,11/12/15,Total Dissolved Solids,mg/L,Monthly Mean,1.2,,,,,,,,
635TRK002,12/9/15,Total Dissolved Solids,mg/L,Monthly Mean,1.3,,,,,,,,
635TRK002,2/22/16,Total Dissolved Solids,mg/L,Monthly Mean,2.3,,,,,,,,
635TRK002,3/30/16,Total Dissolved Solids,mg/L,Monthly Mean,2.9,,,,,,,,
635TRK002,4/26/16,Total Dissolved Solids,mg/L,Monthly Mean,2.4,,,,,,,,
635TRK002,5/31/16,Total Dissolved Solids,mg/L,Monthly Mean,5.7,,,,,,,,
635TRK002,6/23/16,Total Dissolved Solids,mg/L,Monthly Mean,4.8,,,,,,,,
635TRK002,7/21/16,Total Dissolved Solids,mg/L,Monthly Mean,2.3,,,,,,,,
635TRK002,8/17/16,Total Dissolved Solids,mg/L,Monthly Mean,2.8,,,,,,,,
635TRK002,9/21/16,Total Dissolved Solids,mg/L,Monthly Mean,2.1,,,,,,,,
635TRK002,10/11/16,Total Dissolved Solids,mg/L,Monthly Mean,1.2,,,,,,,,
635TRK002,11/29/16,Total Dissolved Solids,mg/L,Monthly Mean,1.7,,,,,,,,
635TRK002,12/20/16,Total Dissolved Solids,mg/L,Monthly Mean,15.1,,,,,,,,
635TRK002,4/26/17,Total Dissolved Solids,mg/L,Monthly Mean,12,,,,,,,,
635TRK002,9/23/14,"Turbidity, Total",NTU,Monthly Mean,2.66,,,,,,,,
635TRK002,10/20/14,"Turbidity, Total",NTU,Monthly Mean,0.66,,,,,,,,
635TRK002,11/25/14,"Turbidity, Total",NTU,Monthly Mean,3.1,,,,,,,,
635TRK002,12/10/14,"Turbidity, Total",NTU,Monthly Mean,2.05,,,,,,,,
635TRK002,1/15/15,"Turbidity, Total",NTU,Monthly Mean,1.87,,,,,,,,
635TRK002,2/4/15,"Turbidity, Total",NTU,Monthly Mean,1.14,,,,,,,,
635TRK002,3/10/15,"Turbidity, Total",NTU,Monthly Mean,2.04,,,,,,,,
635TRK002,4/16/15,"Turbidity, Total",NTU,Monthly Mean,2.47,,,,,,,,
635TRK002,5/28/15,"Turbidity, Total",NTU,Monthly Mean,6.07,,,,,,,,
635TRK002,6/30/15,"Turbidity, Total",NTU,Monthly Mean,1.2,,,,,,,,
635TRK002,7/28/15,"Turbidity, Total",NTU,Monthly Mean,2.1,,,,,,,,
635TRK002,8/11/15,"Turbidity, Total",NTU,Monthly Mean,1.69,,,,,,,,
635TRK002,9/16/15,"Turbidity, Total",NTU,Monthly Mean,1.61,,,,,,,,
